"sample","project","CD8","Cytotoxicity","Antigenicity","PD1","PDL1","FASLG","CXCL9","CXCL10","CCL5","Chemokine_Signature"
"TCGA-78-8662-01A-11R-2403-07","LUAD",1.29373600549609,1.32155829721516,7.63855901512345,-0.45878507795528,1.25950903000126,-1.20588690190038,4.70696608141892,3.27518392995062,3.90447583247311,3.96220861461422
"TCGA-50-5931-01A-11R-1755-07","LUAD",1.96320486214222,0.689358233137763,9.57699504674202,-1.23056518347735,0.609291135674261,-3.86021535218704,2.83435532875536,2.42579925452651,2.8564232949627,2.70552595941486
"TCGA-50-5944-01A-11R-1755-07","LUAD",1.24196254377747,0.860887031880415,10.2931207321317,-0.987607870403805,2.25896933367816,-0.333425494106968,3.86740259163402,2.7680466464152,3.95613843637291,3.53052922480738
"TCGA-MN-A4N5-01A-11R-A24X-07","LUAD",3.48940021882989,3.89523377967921,11.8570488845346,3.3793375735118,5.27106629420051,1.5729143584482,6.55210673226337,5.05583939349265,5.45937125365433,5.68910579313678
"TCGA-64-1680-01A-02R-0946-07","LUAD",1.4275045901347,2.5733410005473,10.7217221885852,0.192146936869915,2.27782355489949,-1.57777464605609,4.10894651292435,3.21004736482458,4.09352067252927,3.8041715167594
"TCGA-64-5779-01A-01R-1628-07","LUAD",3.08881367751211,3.2318823314287,9.37562446357669,2.02291328455572,2.1766919887484,-0.918741794447546,5.52060487026128,4.3503897376018,5.55748129118971,5.14282529968427
"TCGA-49-6744-01A-11R-1858-07","LUAD",3.87653241937166,4.03238423912565,11.2699383008355,2.62530410886864,3.35943190362929,0.14195557534237,5.82652514733023,5.35662226926514,6.65599921786515,5.94638221148684
"TCGA-MP-A4SW-01A-21R-A24X-07","LUAD",1.91796753725549,2.85973686467857,10.3229004545946,1.80110344791614,3.16528615647528,-0.220152695201876,4.06969527587836,3.20234953118207,4.91257455292547,4.06153978666196
"TCGA-78-7162-01A-21R-2066-07","LUAD",3.35979873794245,3.81385929806466,10.7849903221445,1.42337442240027,2.72993524978141,0.377260470449089,6.14719385081125,3.83844739636479,6.15884822068383,5.38149648928662
"TCGA-69-7763-01A-11R-2170-07","LUAD",1.74793148649114,2.34160775902356,9.95627756220656,-0.142089460182698,2.8432261243996,-0.653023649547934,2.97799515852107,2.37943643231353,4.53453491818634,3.29732216967365
"TCGA-75-5125-01A-01R-1755-07","LUAD",3.16559862424404,4.1702696303128,10.4928564426559,3.5752398419663,7.16456510366584,2.0364113707714,8.67853591517526,6.71618982588498,6.16217170500188,7.18563248202071
"TCGA-44-5644-01A-21R-2039-07","LUAD",1.71924124363278,2.19320808500287,9.14233430819926,0.272610097917507,0.828910152973531,-0.943453321918573,2.67423069828344,1.71017502275702,4.00135613303792,2.79525395135946
"TCGA-55-8512-01A-11R-2403-07","LUAD",2.75650181042132,2.50647474904367,9.5734891736373,-0.815440691300858,2.58267717002155,-0.191705694044224,1.07375860916619,1.20319026246732,3.98014592143734,2.08569826435695
"TCGA-75-6212-01A-11R-1755-07","LUAD",0.955326865558811,2.81565947241747,11.3511573510508,1.88829822582031,3.10784267146734,-1.00303046219451,4.19726900628097,2.85001238989071,3.95984690366769,3.66904276661312
